"","x"
"PIGH",-2.4731721059506
"DPF3",1.05596201095773
"ALDH6A1",1.19837308746996
"VRTN",2.8639524680245
"ACYP1",1.08584928848223
"FOS",1.264498074947
"FBLN5",-1.12899764792785
"BDKRB2",-2.66330781813348
"BDKRB1",-4.75130426165361
"HHIPL1",-1.70473665392289
"DLK1",-2.28117672347248
"MEG3",-3.22743428725129
"CKB",2.02842751641722
"CRIP2",1.63004294350959
"CRIP1",1.99590246948157
"ACTC1",1.40796179311672
"GPR176",1.03218335149218
"BUB1B",1.08928883698946
"ANKRD63",2.01586001452257
"KNL1",1.10868372780767
"NUSAP1",1.72071938864303
"CAPN3",3.07373127865676
"GATM",2.07038221839104
"SEMA6D",-1.5749238236481
"SLC27A2",1.3776716352662
"CGNL1",1.0647005749812
"MYZAP",2.40197741625385
"CCNB2",1.70948386110859
"ANXA2",-1.17755835216654
"LOC105370854",-1.9749840467721
"PIF1",1.69741210551409
"RNU5A-1",1.66292898072817
"RNU5B-1",1.30206520670346
